Description,Part Number,Quantity,Device
THERM NTC 100KOHM 4250K 0402,NCP15WF104F03RC,1,Polvo
RGBW COLOR SENSOR I2C INTERFACE,VEML6040A3OG,5,Polvo
IC I2C SW 8CH W/RESET 24VQFN,TCA9548ARGER,1,Polvo
LED MINITOPLED NEU WHT 4000K SMD,LCW MVSG.EC-BXCX-4L8N-1-20-R18,5,Polvo
RES SMD 120 OHM 1% 1/16W 0402,CR0402-FX-1200GLF,5,Polvo
LED RGB CLEAR 4PLCC SMD,XZMECBDDG45S,1,Polvo
RES SMD 120 OHM 1% 1/16W 0603,RN731JTTD1200F10,1,Polvo
RES SMD 68 OHM 1% 1/16W 0603,RN731JTTD68R0F100,2,Polvo
CAP CER 0.1UF 16V X7R 0402,C0402C104K4RAC7411,13,Polvo
CAP CER 10UF 16V X5R 0603,GRM188R61C106KAALJ,5,Polvo
CAP CER 0.1UF 16V X7R 0603,CC0603KRX7R7BB104,14,Polvo
CAP CER 10000PF 16V X7R 0402,C0402C103K4RAC7867,1,Polvo
CAP CER 22UF 6.3V X5R 0603,JMK107BBJ226MA-T,5,Polvo
CAP CER 47PF 50V C0G/NP0 0402,C0402C470J5GACAUTO,2,Polvo
DIODE GEN PURP 75V 150MA SOD323,1N4148WS-7-F,1,Polvo
CONN RCPT USB2.0 MICRO B SMD R/A,1050170001,1,Polvo
CONN SOCKET 6POS 0.1 TIN PCB,ESQ-106-12-T-S,1,Polvo
CONN SOCKET 7POS 0.1 TIN PCB,ESQ-107-12-T-S,1,Polvo
CONN FFC FPC TOP 6POS 0.50MM R/A,SFV6R-2STE1HLF,2,Polvo
CONN HEADER R/A 2POS 2.54MM,0022053021,2,Polvo
TERM BLK 2P SIDE ENT 2.54MM PCB,282834-2,1,Polvo
CONN HEADER VERT 4POS 2.54MM,PH1-04-UA,1,Polvo
CONN FFC FPC TOP 4POS 1.00MM R/A,SFW4R-2STE1LF,2,Polvo
CONN HEADER VERT 6POS 2.54MM,PH1-06-UA,1,Polvo
CONN HEADER VERT 7POS 2.54MM,PH1-07-UA,1,Polvo
CONN PWR JACK 2.1X5.5MM SOLDER,EJ508A,1,Polvo
FIXED IND 2.2UH 2A 97MOHM SMD,CIGT252008LM2R2MNE,1,Polvo
MOSFET P-CH 30V 8A 6-TSOP,SI3483CDV-T1-GE3,2,Polvo
MOSFET N-CH 20V 6.3A SOT-23,IRLML6244TRPBF,7,Polvo
RES SMD 27 OHM 1% 1/16W 0402,RT0402FRE0727RL,2,Polvo
RES SMD 20K OHM 0.5% 1/16W 0603,AR03DTC2002,5,Polvo
RES SMD 100K OHM 1% 1/16W 0603,CPF0603F100KC1,4,Polvo
RES SMD 4.7K OHM 0.5% 1/16W 0603,AR03DTC4701,3,Polvo
RES SMD 10K OHM 1% 1/16W 0603,CPF0603F10KC1,3,Polvo
RES SMD 10K OHM 1% 1/16W 0402,CRCW040210K0FKTD,12,Polvo
SWITCH TACTILE SPST-NO 0.05A 24V,1-1825027-1,1,Polvo
IC USB SERIAL BASIC UART 12DFN,FT234XD-R,1,Polvo
RX TXRX MOD WIFI TRACE ANT SMD,ESP32-WROOM-32D (8MB),1,Polvo
IC DIFF COMP SINGLE SOT23-5,TL331IDBVR,1,Polvo
IC PWR SWITCH P-CHAN 1:1 SOT23-8,TPS22960DCNR,1,Polvo
IC REG BUCK 5V 3A 16QFN,TPS62133RGTR,1,Polvo
IC REG LINEAR 3.3V 300MA SOT23-5,MIC5504-3.3YM5-T5,2,Polvo
IC VREF SHUNT 0.1% SOT23-3,TS4061AILT-1.25,1,Polvo
